genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000164403	-0.35039222821078	4.50713892583442	25.6995755873791	3.98914774898559e-07	4.5055095134482e-05	SHROOM1	royalblue
ENSG00000183527	0.354374299864785	3.84001814389005	25.6598220097537	4.07217550840253e-07	4.57605581120992e-05	PSMG1	gold
ENSG00000130368	0.626419608275006	4.27106295965951	25.6342487957824	4.12650016867262e-07	4.59985359463479e-05	MAS1	gold
ENSG00000101746	0.284951521529727	5.44784020555008	25.6304181503988	4.13469986034588e-07	4.59985359463479e-05	NOL4	gold
ENSG00000095203	0.260494240866744	6.16223385162043	25.6034645236428	4.19285914609518e-07	4.6413490547571e-05	EPB41L4B	gold
ENSG00000173465	0.313778721268626	3.62111301452487	25.582847316402	4.23789898907e-07	4.65100771597695e-05	ZNRD2	gold
ENSG00000054654	-0.479926385540507	6.73732575210097	25.5803482202227	4.24339130940819e-07	4.65100771597695e-05	SYNE2	royalblue
ENSG00000276085	1.05607319409919	1.74513985611953	25.5627551624561	4.28225843941907e-07	4.67060050377815e-05	CCL3L1	gold
ENSG00000139668	-0.269051942072424	5.34728259239146	25.5122195078932	4.39589981304393e-07	4.77115955318182e-05	WDFY2	royalblue
ENSG00000138193	-0.334674918191138	5.62426404808853	25.4957814800183	4.43351243489702e-07	4.78862386778926e-05	PLCE1	royalblue
ENSG00000143549	0.237472342735975	7.32688730106129	25.4718542044826	4.48883892790877e-07	4.82495971719662e-05	TPM3	gold
ENSG00000163297	-0.367367661555295	3.83265575684744	25.4192466718649	4.6129282934205e-07	4.9345026215676e-05	ANTXR2	royalblue
ENSG00000072832	0.30769134740013	6.79149844202384	25.3924681246198	4.67740781801545e-07	4.97953703114085e-05	CRMP1	gold
ENSG00000136267	0.362327035860291	7.39922149237145	25.3552471165564	4.76853513076386e-07	5.03240925382651e-05	DGKB	gold
ENSG00000095951	0.155656607736313	6.24008905692437	25.3537218223968	4.77230720250514e-07	5.03240925382651e-05	HIVEP1	gold
