category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	27/772	205/9512	0.13170731707317074	1.62279792746114	2.6790773760995683	0.008195332069513157	0.03422211594381876	0.023295811949137782	3111/3109/7431/3115/6850/960/3108/4939/7157/57506/3113/3122/695/3683/3106/3133/1017/4791/3107/864/3123/3665/3383/3117/1026/3119/3127	27
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	21/772	148/9512	0.14189189189189189	1.7482845539840357	2.7266723898771374	0.008204671330379259	0.03422211594381876	0.023295811949137782	2246/51176/5241/4853/8324/7157/4791/4855/4851/2064/4041/2254/2250/2324/83439/4854/26508/54567/1026/7471/3479	21
Organismal Systems	Excretory system	hsa04964	Proximal tubule bicarbonate reclamation	6/772	23/9512	0.2608695652173913	3.21423744086506	3.159685880140799	0.008528168409805602	0.03510947254426462	0.023899856787561836	760/4190/478/358/5105/10991	6
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	21/772	149/9512	0.14093959731543623	1.7365511006015926	2.693112712881575	0.008846256963388708	0.03546887741351745	0.024144512268872913	2567/3762/2785/23236/2915/2892/2556/5579/5743/2554/2563/2566/3710/1268/2559/2561/196883/5582/5331/57084/4537	21
Organismal Systems	Sensory system	hsa04742	Taste transduction	14/772	86/9512	0.16279069767441862	2.0057838293770334	2.784557443486522	0.008951136255777275	0.03546887741351745	0.024144512268872913	9568/23236/9177/2556/9033/6326/1131/954/2554/3710/2559/196883/255022/5331	14
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	14/772	86/9512	0.16279069767441862	2.0057838293770334	2.784557443486522	0.008951136255777275	0.03546887741351745	0.024144512268872913	64764/5864/23236/6804/116/885/5579/6616/1131/478/3710/196883/5582/5331	14
Metabolism	Metabolism of other amino acids	hsa00430	Taurine and hypotaurine metabolism	5/772	17/9512	0.29411764705882354	3.6238951539164885	3.218025478488322	0.009433371327808235	0.03691825569031124	0.025131138690067424	2327/2571/2687/2572/2328	5
Organismal Systems	Immune system	hsa04621	NOD-like receptor signaling pathway	25/772	189/9512	0.13227513227513227	1.629794116840749	2.5990682505803884	0.010146873900117316	0.03858532025930552	0.026265949371268908	84168/118429/55914/84674/2635/10628/63940/2634/23236/115361/2633/4939/79792/57506/3606/834/115362/3710/22861/5331/3665/64127/152138/3553/3576	25
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	16/772	105/9512	0.1523809523809524	1.877522822600543	2.687159978180865	0.010224501267450043	0.03858532025930552	0.026265949371268908	6850/7132/695/5579/6387/5743/10848/3554/4055/4791/29775/3383/7412/5328/3553/3576	16
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	16/772	105/9512	0.1523809523809524	1.877522822600543	2.687159978180865	0.010224501267450043	0.03858532025930552	0.026265949371268908	1837/3688/3655/3693/10368/3691/8515/3678/3672/7040/6442/196883/7169/5350/3479/1674	16
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	17/772	115/9512	0.14782608695652175	1.8214012164902007	2.6337568196249808	0.011116741174938646	0.04115993734970277	0.028018552736805803	260293/3762/1558/2785/23236/9177/5579/5743/247/3356/3361/1843/3710/121278/2561/5582/5331	17
Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	16/772	106/9512	0.1509433962264151	1.859810343142047	2.645569257675727	0.011166418334619678	0.04115993734970277	0.028018552736805803	760/23236/22802/6522/885/5579/1131/5646/478/5874/3710/196883/5582/5331/3784/683	16
Organismal Systems	Immune system	hsa04666	Fc gamma R-mediated phagocytosis	15/772	99/9512	0.15151515151515152	1.8668550792903125	2.576713251169905	0.013302484763526391	0.04846997321882605	0.03299466880245505	10163/5581/3635/5058/6850/8877/5788/5579/8612/85477/273/2212/7408/2213/5582	15
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	21/772	155/9512	0.13548387096774195	1.6693297676750793	2.496914660044446	0.013598383246967626	0.04898508510555383	0.033345317770674204	4773/23533/3762/57172/23236/10368/4772/5579/808/5743/814/4208/3710/196883/4846/5582/91807/5331/1026/4881/10398	21
